ID1,AISP,DP,units,TakenDP_2015,TakenDP_2016,TakenSocial_2015,TakenSocial_2016,TOTAL_ApreensaodeMenor2013,TOTAL_ApreensaodeMenor2014,TOTAL_nabe
147,AISP 40,35 DP,Campo Grande,72.0,12.0,68.0,5.0,48.0,47.0,84.0
149,AISP 22,21 DP,Bonsucesso,186.0,23.0,171.0,18.0,149.0,185.0,209.0
234,AISP 31,42 DP,Recreio,56.0,13.0,44.0,7.0,10.0,6.0,69.0
235,AISP 18,41 DP,Tanque,49.0,11.0,44.0,5.0,40.0,2.0,60.0
236,AISP 18,32 DP,Taquara,213.0,41.0,180.0,23.0,112.0,204.0,254.0
237,AISP 14,33 DP,Realengo ,122.0,14.0,100.0,12.0,4.0,20.0,136.0
238,AISP 14,34 DP,Bangu ,257.0,48.0,241.0,37.0,280.0,226.0,305.0
239,AISP 9,29 DP,Madureira,106.0,17.0,87.0,12.0,72.0,149.0,123.0
240,AISP 9,30 DP,Marechal Hermes,47.0,8.0,39.0,7.0,0.0,5.0,55.0
241,AISP 9,40 DP,Honório Gurgel,76.0,14.0,66.0,11.0,2.0,0.0,90.0
242,AISP 9,28 DP,Campinho,21.0,14.0,15.0,6.0,45.0,4.0,35.0
243,AISP 4,18 DP,Praça da Bandeira,77.0,12.0,74.0,10.0,4.0,3.0,89.0
244,AISP 6,20 DP,Grajaú,81.0,13.0,75.0,8.0,1.0,6.0,94.0
245,AISP 6,19 DP,Tijuca,143.0,31.0,137.0,25.0,59.0,67.0,174.0
246,AISP 3,23 DP,Meier,80.0,7.0,72.0,5.0,0.0,2.0,87.0
247,AISP 3,24 DP,Piedade,35.0,3.0,27.0,3.0,46.0,4.0,38.0
248,AISP 3,25 DP,Engenho Novo,256.0,9.0,236.0,7.0,123.0,267.0,265.0
249,AISP 3,44 DP,Inhaúma ,36.0,8.0,32.0,4.0,1.0,8.0,44.0
250,AISP 3,26 DP,Todos os Santos,93.0,28.0,88.0,19.0,0.0,7.0,121.0
251,AISP 16,38 DP,Braz de Pina,126.0,22.0,99.0,18.0,71.0,6.0,148.0
252,AISP 41,27 DP,Vicente de Carvalho,90.0,21.0,71.0,13.0,3.0,10.0,111.0
253,AISP 5,5 DP,Mem de Sá ,243.0,75.0,219.0,44.0,223.0,220.0,318.0
258,AISP 41,39 DP,Pavuna,168.0,35.0,148.0,24.0,32.0,156.0,203.0
259,AISP 41,31 DP,Ricardo Albuquerque,68.0,15.0,65.0,12.0,2.0,2.0,83.0
260,AISP 27,43 DP,Pedra de Guaratiba ,10.0,6.0,8.0,2.0,5.0,0.0,16.0
261,AISP 27,36 DP,Santa Cruz,26.0,7.0,30.0,6.0,6.0,56.0,33.0
263,AISP 23,11 DP,Rocinha,12.0,0.0,13.0,0.0,0.0,3.0,12.0
264,AISP 23,15 DP,Gávea,50.0,6.0,44.0,3.0,2.0,12.0,56.0
265,AISP 16,45 DP,Alemão,27.0,3.0,29.0,2.0,0.0,5.0,30.0
266,AISP 16,22 DP,Penha,109.0,14.0,100.0,8.0,286.0,150.0,123.0
267,AISP 31,16 DP,Barra da Tijuca,176.0,65.0,175.0,40.0,115.0,111.0,241.0
268,AISP 19,13 DP,Ipanema,125.0,46.0,113.0,36.0,86.0,35.0,171.0
269,AISP 19,12 DP,Copacabana,317.0,83.0,299.0,67.0,365.0,230.0,400.0
270,AISP 2,10 DP,Botafogo,97.0,14.0,84.0,6.0,11.0,100.0,111.0
271,AISP 4,6 DP,Cidade Nova,77.0,12.0,78.0,8.0,22.0,5.0,89.0
272,AISP 4,17 DP,São Cristóvão,159.0,39.0,166.0,33.0,129.0,86.0,198.0
273,AISP 5,7 DP,Santa Tereza,21.0,1.0,18.0,1.0,0.0,0.0,22.0
274,AISP 23,14 DP,Leblon,251.0,67.0,230.0,56.0,286.0,229.0,318.0
275,AISP 5,4 DP,Praça da República,165.0,17.0,153.0,9.0,3.0,7.0,182.0
282,AISP 2,9 DP,Catete,116.0,26.0,105.0,8.0,11.0,41.0,142.0
286,AISP 5,1 DP,Praça Mauá,108.0,32.0,107.0,22.0,0.0,0.0,140.0
289,AISP 17,37 DP,Ilha do Governador,47.0,12.0,37.0,6.0,91.0,50.0,59.0
10558,,,,4594.0,944.0,4187.0,648.0,2745.0,2726.0,5538.0
